Ensembl_ID,ext_gene,biotype,chr,WT.6dpf.1,WT.6dpf.4,pex5KO.6dpf.1,pex5KO.6dpf.2
ENSDARG00000088140,hsd17b7,protein_coding,6,0,3.381733771,5.025302018,2.707103416
ENSDARG00000013734,polr3glb,protein_coding,16,2.394428303,0.836143193,2.809950102,1.620016101
ENSDARG00000017369,sema3d,protein_coding,18,0,0.836143193,0.808653096,0
ENSDARG00000056678,trim47,protein_coding,10,2.185255295,1.746662492,0,1.620016101
ENSDARG00000002779,pdx1,protein_coding,24,0,0,0.808653096,0
ENSDARG00000027355,slc25a4,protein_coding,1,0,1.36207273,0,0
ENSDARG00000095273,cox8a,protein_coding,21,6.019375168,5.97811368,6.386695332,6.516570928
ENSDARG00000093232,CR847566.1,processed_transcript,16,2.884896928,2.300520784,1.702536188,2.707103416
ENSDARG00000062423,zgc:153901,protein_coding,9,0,0,0,0
ENSDARG00000003961,parp3,protein_coding,6,0,0.836143193,0,1.620016101
ENSDARG00000095799,cntrob,protein_coding,23,0.773671072,0,0,0
ENSDARG00000059362,cavin1b,protein_coding,24,1.274547371,2.050008648,2.461908937,0.758099792
ENSDARG00000058734,prdx1,protein_coding,2,3.250260412,3.381733771,6.192810389,5.665927997
ENSDARG00000026406,anxa5a,protein_coding,14,0,0,2.002271038,0
ENSDARG00000045681,irf5,protein_coding,4,0.773671072,0.836143193,2.250317981,1.620016101
ENSDARG00000094427,si:dkey-253d23.8,protein_coding,22,0,0.836143193,0,0.758099792
ENSDARG00000097425,CU638870.1,lincRNA,16,0,0,0,2.363891357
ENSDARG00000070404,inka1b,protein_coding,6,0.773671072,1.746662492,1.702536188,1.252490209
ENSDARG00000016163,usp33,protein_coding,2,3.354027365,2.513901711,2.95683331,3.59218012
ENSDARG00000004406,spra,protein_coding,5,2.185255295,2.300520784,1.323745211,2.155848877
ENSDARG00000093760,si:ch211-197h24.9,protein_coding,16,3.450828987,2.513901711,4.002838239,3.74875189
ENSDARG00000055426,rwdd2b,protein_coding,20,1.274547371,1.36207273,2.002271038,1.620016101
ENSDARG00000039824,zgc:172182,protein_coding,9,1.274547371,0,0,0.758099792
ENSDARG00000057322,tmem47,protein_coding,8,3.856256294,2.300520784,3.324652912,3.955730584
ENSDARG00000077034,nmnat3,protein_coding,2,0,0.836143193,0,1.620016101
ENSDARG00000015823,vps26b,protein_coding,15,0,0,0,0
ENSDARG00000095407,si:dkey-9i23.8,protein_coding,1,0,0,0,0
ENSDARG00000022614,ddx43,protein_coding,13,0,2.300520784,2.461908937,1.912667577
ENSDARG00000077301,mlf1,protein_coding,15,0.773671072,3.584216412,1.702536188,2.155848877
ENSDARG00000026068,trappc5,protein_coding,1,2.739181937,1.746662492,3.212153657,3.104986919
ENSDARG00000039681,samm50l,protein_coding,4,2.577078717,2.300520784,2.002271038,1.912667577
ENSDARG00000013750,eno1b,protein_coding,6,1.274547371,1.746662492,0,0.758099792
ENSDARG00000102788,si:zfos-128g4.1,protein_coding,5,0.773671072,0,0,0
ENSDARG00000036968,si:ch1073-416d2.3,protein_coding,17,4.478223468,4.472638564,3.617490216,3.74875189
ENSDARG00000001249,pcgf1,protein_coding,14,2.739181937,1.746662492,1.323745211,1.620016101
ENSDARG00000011400,tnnc1a,protein_coding,23,2.394428303,2.86436823,0,0
ENSDARG00000068149,tprg1l,protein_coding,8,1.940526903,2.050008648,2.461908937,2.545679527
ENSDARG00000053744,dcdc2b,protein_coding,13,1.274547371,0,1.323745211,1.252490209
ENSDARG00000100916,uvssa,protein_coding,14,2.185255295,1.36207273,1.702536188,1.620016101
ENSDARG00000099427,nkx1.2lb,protein_coding,14,0.773671072,0,0,0
ENSDARG00000074289,tuba4l,protein_coding,13,0,0.836143193,0,0
ENSDARG00000069944,p2ry13,protein_coding,15,1.645629537,0,0,0.758099792
ENSDARG00000019976,idi1,protein_coding,24,4.431544157,4.832104647,4.192686103,4.573594558
ENSDARG00000042418,galnt17,protein_coding,15,0,0,0,0.758099792
ENSDARG00000051763,sntb2,protein_coding,25,1.274547371,3.012110973,2.002271038,1.912667577
ENSDARG00000076134,zgc:162972,protein_coding,19,0,0,0,0
ENSDARG00000100086,adipoqb,protein_coding,2,0,0,0.808653096,0
ENSDARG00000075393,spock2,protein_coding,13,3.138447491,0,0,2.155848877
ENSDARG00000005593,rxrga,processed_transcript,2,2.577078717,3.992782157,3.212153657,3.507023729
